257	K06960	uncharacterized protein
565	K05807	outer membrane protein assembly factor BamD
585	K02066	phospholipid/cholesterol/gamma-HCH transport s...
1039	K00677	UDP-N-acetylglucosamine acyltransferase
1118	K03585	membrane fusion protein multidrug efflux system
1375	K06861	lipopolysaccharide export system ATP-binding p...
1833	K04072	acetaldehyde dehydrogenase / alcohol dehydroge...
2232	K02527	3-deoxy-D-manno-octulosonic-acid transferase
2390	K06142	outer membrane protein
2452	K00016	L-lactate dehydrogenase
2593	K01421	putative membrane protein
2845	K07277	outer membrane protein insertion porin family
2928	K00946	thiamine-monophosphate kinase
2952	K02548	14-dihydroxy-2-naphthoate polyprenyltransferase
3120	K00965	UDPglucose--hexose-1-phosphate uridylyltransfe...
3436	K09762	uncharacterized protein
3624	K07166	ACT domain-containing protein
3937	K08307	membrane-bound lytic murein transglycosylase D
4399	K03771	peptidyl-prolyl cis-trans isomerase SurA
4987	K02014	iron complex outermembrane recepter protein
5423	K09808	lipoprotein-releasing system permease protein
5873	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosami...
5875	K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acy...
5891	K03116	sec-independent protein translocase protein TatA
6029	K03327	multidrug resistance protein MATE family
6108	K00912	tetraacyldisaccharide 4'-kinase
6220	K07263	zinc protease
6698	K03832	periplasmic protein TonB
6781	K00975	glucose-1-phosphate adenylyltransferase
6820	K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO...
